area code,population,num_market,num_gyms,num_tube,num_school,num_restuarant,num_bus,cases
E02000091,9966,1,2,0,2,5,21,69
E02000092,6794,2,1,0,3,2,18,44
E02000093,11147,1,0,0,0,2,11,73
E02000094,9183,3,1,0,1,3,10,64
E02000095,9994,1,2,1,6,0,13,64
E02000096,7475,1,0,0,4,1,5,51
E02000097,9097,1,0,0,2,0,3,53
E02000098,8437,0,1,0,2,0,10,57
E02000099,8941,2,0,1,1,0,6,53
E02000100,8813,2,1,2,1,2,10,59
E02000101,9598,3,0,0,3,0,8,59
E02000102,7514,0,0,0,3,0,2,40
E02000103,9217,1,0,0,4,1,15,52
E02000104,7281,0,0,1,3,2,6,48
E02000105,9726,0,1,1,3,0,8,56
E02000106,10652,2,0,1,1,0,12,52
E02000107,11533,4,3,0,2,12,5,69
E02000108,6654,2,0,1,0,0,1,40
E02000109,12893,5,4,0,2,15,12,122
E02000110,8622,0,0,2,1,1,2,55
E02000111,10798,0,0,0,1,12,11,58
E02000112,10492,3,5,2,4,15,9,80
E02000113,9815,1,0,0,3,1,16,50
E02000114,10150,2,0,0,2,2,5,57
E02000115,8811,2,0,1,1,3,7,58
E02000116,9386,1,1,0,3,0,10,47
E02000117,13026,0,0,0,4,0,11,72
E02000118,10342,0,1,0,2,0,7,59
E02000119,9000,1,1,1,3,1,21,66
E02000120,9217,6,1,0,2,16,5,59
E02000121,10763,1,2,1,0,2,11,59
E02000122,7812,0,1,0,5,1,6,57
E02000123,15904,2,2,1,6,8,11,85
E02000124,10126,4,2,1,5,18,12,68
E02000125,10452,0,0,1,1,7,6,70
E02000126,7924,0,2,1,5,4,8,49
E02000127,9451,2,1,0,4,3,10,56
E02000128,7804,1,1,0,2,0,13,51
E02000130,8626,2,1,0,4,3,15,63
E02000131,10531,2,1,0,1,2,21,73
E02000132,10185,3,0,0,2,8,21,71
E02000133,10607,1,2,0,4,1,16,75
E02000134,11939,2,0,0,1,17,14,81
E02000135,10537,5,0,0,3,3,10,63
E02000136,5755,2,2,0,2,0,21,38
E02000137,8491,0,0,0,1,1,18,57
E02000138,8572,0,0,0,4,0,12,59
E02000139,7852,2,1,0,1,2,11,59
E02000140,8749,1,1,0,4,0,16,60
E02000141,7439,1,1,0,1,0,9,48
E02000142,8840,2,0,0,3,0,13,66
E02000144,9871,4,6,0,4,10,19,76
E02000145,9173,1,1,0,2,1,12,61
E02000146,9516,1,2,0,1,1,9,76
E02000147,8293,1,2,0,2,0,19,56
E02000148,6740,5,1,0,0,3,13,49
E02000149,8111,1,1,0,2,0,18,51
E02000150,8667,3,0,0,5,3,12,57
E02000151,7655,0,0,0,2,0,9,58
E02000152,7927,0,1,0,4,0,16,56
E02000153,7913,2,0,0,2,1,8,64
E02000154,8509,4,3,0,1,2,11,64
E02000155,6973,0,0,0,2,0,14,49
E02000156,12239,4,1,0,1,2,10,84
E02000157,8262,0,1,0,2,0,15,66
E02000158,7825,1,1,0,2,0,15,53
E02000159,6962,3,1,0,4,1,21,44
E02000160,8038,1,1,0,3,2,17,63
E02000161,8808,1,0,0,2,4,13,69
E02000162,6990,0,1,0,4,1,23,51
E02000163,7764,1,0,0,5,0,21,61
E02000165,6984,1,0,0,1,0,14,50
E02000166,9092,1,2,0,5,6,11,54
E02000167,9437,1,0,0,2,21,9,54
E02000168,9501,2,2,1,3,12,9,58
E02000169,9199,1,1,1,3,11,5,58
E02000170,9690,1,1,0,1,2,11,67
E02000171,9464,0,0,0,2,4,8,54
E02000172,12101,5,2,1,3,6,3,69
E02000173,9893,1,2,0,1,2,11,63
E02000174,10236,0,0,0,2,2,7,64
E02000175,11240,5,2,2,0,16,5,70
E02000176,7654,1,0,1,0,5,4,51
E02000177,10464,1,2,1,3,14,13,62
E02000178,10424,0,0,0,4,2,7,60
E02000179,7577,2,1,0,0,4,8,44
E02000180,9764,1,0,0,1,2,13,56
E02000181,9139,0,0,0,0,4,5,66
E02000182,8675,5,1,1,3,2,4,53
E02000183,8612,3,0,0,2,40,5,52
E02000184,10251,1,0,0,5,8,14,60
E02000185,9954,0,0,0,0,9,7,54
E02000186,8180,7,4,4,1,43,12,46
E02000187,11091,6,3,1,5,43,11,66
E02000188,8883,4,1,1,2,23,5,48
E02000189,7083,1,1,0,0,5,1,47
E02000190,8540,2,1,0,1,23,3,50
E02000191,8703,7,6,1,0,67,6,60
E02000192,8784,5,3,1,2,25,12,49
E02000193,8595,6,8,3,4,141,26,60
E02000194,9410,1,2,0,3,6,16,69
E02000195,9833,0,2,0,6,1,8,60
E02000196,8087,1,0,0,3,0,6,47
E02000197,9593,3,1,0,0,3,4,54
E02000198,8746,1,0,0,2,2,11,48
E02000199,8414,1,0,0,2,0,2,52
E02000200,8847,2,1,0,2,0,9,55
E02000201,9256,2,1,0,2,0,8,48
E02000202,8486,0,0,0,3,0,6,47
E02000203,7937,1,3,0,1,1,7,40
E02000204,9620,3,0,0,2,1,9,50
E02000206,10206,1,1,0,5,1,7,60
E02000207,9156,0,1,0,3,1,11,53
E02000208,10902,2,0,0,4,1,5,64
