area code,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1
E02000097,193,160,61,91,90,52,56,28,19,19,28,41,47,17,20,13,10,11
E02000098,204,169,90,92,89,65,32,27,19,22,33,37,41,53,24,24,7,14
E02000099,171,162,102,91,64,61,33,35,24,21,33,30,44,37,15,15,20,6
E02000100,168,154,113,90,74,67,53,42,34,43,56,44,37,28,22,17,9,12
E02000101,271,173,97,94,63,45,40,23,22,30,35,27,46,43,13,16,11,14
E02000102,131,147,89,53,47,36,26,20,22,17,31,23,23,17,10,19,7,6
E02000103,208,168,110,90,67,46,21,15,28,13,23,41,47,32,16,10,8,9
E02000104,163,173,60,72,63,60,45,41,16,22,29,25,30,29,16,10,5,7
E02000105,210,177,115,96,85,44,32,29,18,24,27,39,38,35,15,14,12,0
E02000106,162,162,102,83,69,50,49,22,31,30,25,27,49,24,21,15,12,5
E02000107,266,166,98,106,87,66,61,38,29,39,55,53,73,49,25,27,13,6
E02000108,135,117,84,59,41,52,32,26,17,7,30,25,43,23,18,8,4,4
E02000109,394,360,209,166,177,106,93,58,52,66,81,92,101,115,52,35,26,16
E02000110,155,143,96,92,79,54,33,33,33,31,43,48,60,45,23,15,12,7
E02000111,211,222,114,106,82,59,38,19,12,17,24,41,46,25,14,6,10,3
E02000112,304,261,181,140,115,89,62,34,22,19,28,30,46,53,24,16,15,9
E02000113,220,148,92,98,58,40,32,24,23,16,19,25,30,34,18,7,11,5
E02000114,194,156,101,80,54,55,47,32,33,23,38,61,65,42,21,15,11,10
E02000115,159,134,100,80,77,48,60,42,34,37,39,56,63,43,29,23,15,5
E02000116,186,155,98,77,53,41,43,17,14,23,22,36,32,20,12,10,3,11
E02000117,268,251,116,123,80,63,56,56,24,23,44,52,43,39,23,13,16,6
E02000118,229,227,117,95,76,65,35,20,22,20,23,27,40,30,15,20,9,5
E02000119,253,205,145,120,97,58,36,30,25,30,27,40,54,21,29,9,11,9
E02000120,156,145,91,81,87,57,54,39,22,38,59,58,62,55,25,17,23,6
E02000121,219,238,108,79,94,46,37,26,15,30,29,39,40,30,10,9,10,4
